ID,GENDER,DEGREE,AGE_RANGE,BLACK,LGBTQIA_PLUS,STATE,CONTRACT,WORK_PLACE,COMPANY_TYPE,COMPANY_SIZE,ANDROID_ACTIVITY,WORK_LEVEL,ANDROID_SIZE,COMPANY_IN_BRAZIL,COMPANY_STATE,COMPANY_REGION,SALARY_RANGE,BENEFITS,ABROAD_COMPANY_CONTINENT,ABROAD_CURRENCY,ABROAD_SALARY_RANGE,ABROAD_RELOCATION_AID
111,M,Ensino superior incompleto,21-29,N,N,B-SP,CLT,Totalmente remoto,TEC,501,Android Primário,Pleno,11,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Home office parcial",,,,
112,M,Pós-graduação,30-39,N,N,E-EU,CLT,Parcialmente presencial,FIN,101-500,Android Primário,Sênior,5-10,N,,,,,EU,OUT,6000-9000,N
113,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Líder Técnico,11,S,SP,Interior,15001,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida",,,,
114,M,Ensino médio completo,18-20,N,N,B-GO,NTR,,,,,,,,,,,,,,,
115,F,Mestrado,21-29,N,S,B-PE,CLT,Totalmente presencial,OUT,51-100,Android Primário,Pleno,5-10,S,PE,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte",,,,
116,M,Ensino superior completo,30-39,S,N,B-RJ,CLT,Parcialmente presencial,FIN,501,Android Primário,Sênior,11,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Home office liberado",,,,
117,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente presencial,COM,501,Android Primário,Pleno,3-5,S,SP,Interior,3000-6000,Home office liberado,,,,
118,F,Ensino superior incompleto,21-29,S,S,B-BA,CLT,Totalmente remoto,TEC,101-500,Android Primário,Júnior,11,S,BA,Região metropolitana,1000-3000,"Seguro de vida, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial, Home office liberado, Férias",,,,
119,M,Ensino superior completo,21-29,N,N,B-ES,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,11,S,ES,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida",,,,
120,M,Ensino superior incompleto,21-29,N,N,B-PR,PJS,,TEC,11-50,Não relacionado,,,,,,,,,,,
121,M,Ensino superior completo,30-39,N,N,B-SC,PJS,Totalmente remoto,TEC,101-500,Android Primário,Especialista,3-5,S,SC,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Home office liberado, 13º Salário",,,,
122,M,Ensino superior completo,30-39,N,N,B-ES,PJS,Totalmente remoto,TEC,11-50,Android Primário,Pleno,1-2,S,ES,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial, 13º Salário",,,,
123,M,Ensino médio completo,21-29,N,N,B-RS,CLT,Totalmente presencial,TEC,501,Android Primário,Júnior,11,S,RS,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio creche, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
124,M,Ensino superior incompleto,21-29,N,N,B-MS,PJS,Totalmente remoto,FIN,11-50,Android Primário,Pleno,3-5,S,OU,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
125,M,Pós-graduação,30-39,N,N,B-SP,PJS,Remoto devido ao COVID,FIN,51-100,Android Primário,Sênior,1-2,N,,,,,AN,OUT,6000-9000,S
126,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Vale refeição, Seguro de vida, Férias, 13º Salário",,,,
127,F,Ensino superior completo,21-29,S,N,B-CE,CLT,Totalmente remoto,FIN,11-50,Android Primário,Júnior,3-5,S,OU,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office parcial",,,,
128,M,Pós-graduação,30-39,N,N,B-SP,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,11,S,SP,Interior,6000-9000,"Plano de saúde, Vale refeição, Vale transporte",,,,
129,M,Ensino superior completo,30-39,N,N,B-RS,PJS,Totalmente presencial,OUT,51-100,Android Secundário,Líder Técnico,3-5,S,RS,Região metropolitana,15001,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Estacionamentoacionamento, Seguro de vida, Auxílio para Estacionamentoudos, Home office liberado, Férias, ",,,,
130,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,TEC,501,Android Primário,Líder Técnico,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado",,,,
131,M,Pós-graduação,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Home office liberado",,,,
132,M,Ensino superior completo,21-29,N,N,B-MS,CLT,Totalmente presencial,TEC,101-500,Android Primário,Pleno,1-2,S,OU,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Estacionamentoacionamento, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
133,M,Ensino superior completo,21-29,N,N,B-CE,CLT,Totalmente remoto,TEC,101-500,Android Primário,Pleno,11,S,SC,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche",,,,
134,M,Ensino superior incompleto,21-29,N,N,B-RS,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Pleno,11,N,,,,,AS,BRL,3000-6000,N/A
135,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,TEC,11-50,Android Primário,Pleno,1-2,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio creche, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
136,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente presencial,TEC,501,Android Primário,Pleno,11,S,SP,Interior,6000-9000,Home office liberado,,,,
137,M,Ensino superior completo,21-29,N,S,B-SP,PJS,Parcialmente presencial,TEC,11-50,Android Primário,Pleno,5-10,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Auxílio para Estacionamentoudos, Férias, 13º Salário",,,,
138,M,Ensino superior completo,21-29,N,N,B-SC,PJS,Parcialmente presencial,TEC,11-50,Android Primário,Líder Técnico,1-2,S,SC,Região metropolitana,6000-9000,"Auxílio para Auxílio para eventosntos, Home office parcial, Férias",,,,
139,M,Ensino superior completo,21-29,N,N,B-SP,PJS,Parcialmente presencial,FIN,501,Android Primário,Sênior,11,S,SP,Região metropolitana,15001,Home office liberado,,,,
140,M,Ensino superior incompleto,21-29,S,N,B-SP,CLT,Totalmente presencial,TEC,501,Android Primário,Sênior,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Home office liberado, Férias, 13º Salário",,,,
141,M,Ensino superior completo,21-29,N,N,B-RS,CLT,Totalmente remoto,TEC,101-500,Android Primário,Júnior,5-10,S,RS,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Home office liberado",,,,
142,M,Ensino superior completo,21-29,N,N,B-MG,CLT,Parcialmente presencial,EDU,501,Android Primário,Pleno,11,S,MG,Região metropolitana,3000-6000,"Home office liberado, Férias",,,,
143,M,Pós-graduação,21-29,N,N,B-SP,PJS,Parcialmente presencial,LOG,501,Android Primário,Sênior,11,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Seguro de vida, Auxílio creche, Home office parcial",,,,
144,M,Ensino superior completo,21-29,N,N,E-EU,CLT,Parcialmente presencial,ENT,501,Android Primário,Sênior,11,N,,,,,EU,OUT,12001,S
145,M,Ensino superior incompleto,21-29,N,N,B-ES,PJS,Totalmente presencial,FIN,101-500,Android Primário,Sênior,5-10,S,ES,Região metropolitana,6000-9000,Férias,,,,
146,M,Pós-graduação,21-29,N,N,B-SC,CLT,Totalmente presencial,TEC,501,Android Primário,Pleno,11,S,SC,Região metropolitana,6000-9000,"Férias, 13º Salário",,,,
147,M,Ensino superior incompleto,21-29,N,N,B-MG,CLT,Remoto devido ao COVID,TEC,6-10,Android Secundário,Líder Técnico,1-2,S,MG,Região metropolitana,3000-6000,"Plano de saúde, Vale alimentação, Vale transporte, Home office parcial",,,,
148,F,Ensino superior incompleto,21-29,S,S,B-BA,CLT,Totalmente remoto,FIN,101-500,Android Primário,Júnior,5-10,S,RS,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação",,,,
149,M,Ensino superior completo,30-39,S,N,B-SP,CLT,Parcialmente presencial,OUT,101-500,Android Primário,Pleno,11,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Home office parcial",,,,
150,M,Ensino médio completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,TEC,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Home office parcial",,,,
151,M,Pós-graduação,40-49,N,N,B-SP,CLT,Parcialmente presencial,TEC,101-500,Android Secundário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para estudos",,,,
152,M,Ensino superior completo,21-29,N,N,B-RJ,CLT,Totalmente remoto,FIN,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Vale refeição, Vale transporte, Home office parcial, 13º Salário",,,,
153,M,Ensino superior completo,30-39,N,N,B-RS,CLT,Parcialmente presencial,ENT,501,Android Primário,Pleno,11,S,RS,Região metropolitana,6000-9000,Home office parcial,,,,
154,M,Ensino superior incompleto,21-29,N,N,B-RJ,CLT,Totalmente presencial,ENT,501,Android Primário,Sênior,11,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
155,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Parcialmente presencial,TEC,501,Android Primário,Pleno,11,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Seguro de vida, Auxílio creche",,,,
156,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Auxílio creche, Auxílio para Estacionamentoudos, Home office parcial",,,,
157,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,TEC,51-100,Android Primário,Pleno,1-2,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
158,M,Ensino superior completo,21-29,N,N,B-SC,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Pleno,11,S,SC,Região metropolitana,6000-9000,"Plano de saúde, Home office liberado, Férias, Participação nos lucros",,,,
159,M,Ensino superior incompleto,21-29,N,S,B-SP,CLT,Totalmente presencial,TEC,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Home office parcial, Férias, 13º Salário",,,,
160,M,Ensino superior incompleto,21-29,N,N,B-CE,PJS,Totalmente remoto,FIN,501,Android Primário,Pleno,5-10,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado, 13º Salário",,,,
161,M,Ensino superior completo,21-29,N,S,B-MG,CLT,Totalmente remoto,TEC,501,Android Primário,Júnior,11,S,MG,Região metropolitana,3000-6000,"Plano de saúde, Vale alimentação, Vale transporte",,,,
162,M,Ensino superior incompleto,18-20,N,N,B-RJ,CLT,Totalmente remoto,TEC,101-500,Android Primário,Pleno,11,S,SP,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida",,,,
163,M,Mestrado,21-29,N,N,B-RJ,CLT,Parcialmente presencial,OUT,51-100,Android Primário,Líder Técnico,3-5,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
164,M,Ensino superior completo,21-29,N,N,B-SC,PJS,Parcialmente presencial,TEC,11-50,Android Primário,Líder Técnico,3-5,N,,,,,AN,USD,3000-6000,N/A
165,M,Pós-graduação,40-49,N,N,B-MG,CLT,Totalmente remoto,FIN,101-500,Android Primário,Especialista,11,S,MG,Região metropolitana,6000-9000,Nenhum benefício,,,,
166,M,Pós-graduação,30-39,N,N,B-SC,CLT,Totalmente presencial,TEC,501,Android Secundário,Líder Técnico,11,S,SC,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office parcial",,,,
167,M,Ensino superior completo,21-29,N,N,B-SP,PJS,Remoto devido ao COVID,OUT,0,Android Primário,Pleno,1-2,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Home office liberado",,,,
168,M,Ensino superior completo,30-39,N,N,B-MG,CLT,Parcialmente presencial,TEC,501,Android Secundário,Pleno,11,S,MG,Região metropolitana,6000-9000,"Vale transporte, Férias",,,,
169,M,Ensino superior completo,21-29,S,S,B-MG,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Sênior,5-10,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche",,,,
170,M,Ensino superior completo,21-29,N,N,B-MS,CLT,Totalmente remoto,ALI,501,Android Primário,Júnior,11,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Seguro de vida",,,,
171,M,Pós-graduação,30-39,N,N,B-RS,CLT,Totalmente presencial,FIN,101-500,Android Primário,Sênior,5-10,S,RS,Região metropolitana,15001,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio para estudos",,,,
172,M,Ensino superior completo,30-39,N,N,B-MG,CLT,Totalmente remoto,OUT,51-100,Android Primário,Sênior,3-5,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Home office parcial, Participação nos lucros",,,,
173,M,Ensino superior incompleto,21-29,N,N,B-MG,CLT,Totalmente presencial,LOG,0,Android Primário,Pleno,3-5,S,MG,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado, Outros",,,,
174,M,Ensino superior completo,30-39,S,N,B-SP,CLT,Totalmente remoto,TEC,101-500,Android Secundário,Líder Técnico,3-5,S,PR,Região metropolitana,15001,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Estacionamentoacionamento, Seguro de vida, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial, Férias, 13º Salário, Academiademia, Vale transporte, Outros",,,,
175,M,Ensino superior completo,21-29,N,N,B-OU,CLT,Totalmente remoto,FIN,51-100,Android Primário,Pleno,5-10,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio para Auxílio para eventosntos, Home office liberado",,,,
176,M,Ensino superior incompleto,21-29,S,N,B-CE,EST,Totalmente remoto,TEC,51-100,Android Primário,Estagiário/Trainee,1-2,S,SP,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Auxílio creche, Home office liberado",,,,
177,M,Ensino superior incompleto,21-29,S,N,B-BA,CLT,,TEC,11-50,Não relacionado,,,,,,,,,,,
178,M,Pós-graduação,30-39,N,N,B-SP,CLT,Totalmente remoto,TEC,101-500,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Auxílio creche",,,,
179,M,Pós-graduação,21-29,N,N,B-SP,CLT,Parcialmente presencial,TEC,51-100,Android Primário,Sênior,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio para Auxílio para eventosntos, Home office parcial, Home office liberado",,,,
180,M,Pós-graduação,21-29,N,N,B-OU,CLT,Remoto devido ao COVID,FIN,501,Android Secundário,Sênior,3-5,S,OU,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Férias, 13º Salário",,,,
181,M,Pós-graduação,30-39,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
182,M,Pós-graduação,21-29,N,N,B-SP,CLT,Totalmente remoto,OUT,501,Android Primário,Sênior,11,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Home office liberado, Outros",,,,
183,M,Ensino superior completo,30-39,N,N,B-MG,CLT,Totalmente remoto,TEC,501,Android Primário,Pleno,11,S,MG,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado, Férias, 13º Salário",,,,
184,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Remoto devido ao COVID,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio para Auxílio para eventosntos, Home office parcial, Home office liberado, ",,,,
185,M,Pós-graduação,30-39,N,N,B-SC,CLT,Totalmente presencial,TEC,51-100,Android Primário,Pleno,1-2,S,SC,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio para Estacionamentoudos, Home office parcial",,,,
186,M,Ensino superior completo,30-39,N,N,B-SC,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Sênior,5-10,S,SC,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Seguro de vida, Auxílio para estudos",,,,
187,M,Ensino superior completo,30-39,N,N,B-PR,CLT,Totalmente presencial,OUT,6-10,Android Primário,Pleno,1-2,S,PR,Interior,1000-3000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche",,,,
188,M,Pós-graduação,30-39,N,N,B-MG,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Sênior,11,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, 13º Salário",,,,
189,M,Ensino superior completo,30-39,N,N,B-PR,PJS,Totalmente remoto,TEC,1-5,Android Secundário,Sênior,1-2,S,PR,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Home office liberado",,,,
190,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Home office parcial",,,,
191,M,Ensino superior completo,21-29,N,N,B-SC,PJS,Parcialmente presencial,VAR,101-500,Android Primário,Líder Técnico,3-5,S,SC,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Home office parcial",,,,
192,F,Ensino superior completo,21-29,N,N,B-SP,CLT,Remoto devido ao COVID,TEC,501,Android Primário,Sênior,11,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Auxílio creche",,,,
193,M,Ensino superior incompleto,21-29,N,S,B-MS,NTR,,,,,,,,,,,,,,,
194,M,Ensino superior completo,30-39,N,N,E-EU,CLT,Totalmente presencial,ALI,501,Android Primário,Sênior,1-2,N,,,,,EU,EUR,3000-6000,S
195,F,Pós-graduação,30-39,S,N,B-BA,CLT,Totalmente presencial,TEC,501,Android Primário,Sênior,3-5,S,BA,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte",,,,
196,M,Mestrado,21-29,N,N,E-EU,CLT,Parcialmente presencial,OUT,11-50,Android Primário,Líder Técnico,11,N,,,,,EU,EUR,1000-3000,S
197,M,Pós-graduação,40-49,N,N,B-SP,CLT,Totalmente presencial,MOB,101-500,Android Secundário,Líder Técnico,1-2,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida",,,,
198,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Sênior,11,S,SP,Região metropolitana,12000-15000,Nenhum benefício,,,,
199,M,Pós-graduação,21-29,S,N,B-PR,PJS,Parcialmente presencial,TEC,11-50,Android Primário,Júnior,1-2,S,PR,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office liberado",,,,
200,M,Mestrado,30-39,N,N,B-SP,PJS,Totalmente presencial,TEC,6-10,Android Primário,Sênior,1-2,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio creche, Home office liberado",,,,
201,M,Mestrado,30-39,N,N,B-SP,PJS,Totalmente remoto,FIN,101-500,Android Primário,Sênior,5-10,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para estudos",,,,
202,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente presencial,OUT,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado",,,,
203,M,Ensino superior completo,21-29,N,N,B-BA,CLT,Totalmente presencial,TEC,101-500,Android Secundário,Pleno,11,S,BA,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Estacionamentoacionamento, Home office parcial",,,,
204,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Home office liberado, Férias, 13º Salário",,,,
205,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,ALI,501,Android Primário,Sênior,11,S,SP,Interior,6000-9000,"Plano de saúde, Vale alimentação, Vale transporte, Home office parcial",,,,
206,M,Ensino superior completo,30-39,N,N,B-RS,PJS,Totalmente remoto,TEC,51-100,Android Primário,Pleno,5-10,S,RS,Região metropolitana,6000-9000,"Plano de saúde, Seguro de vida, Outros",,,,
207,M,Pós-graduação,21-29,N,N,B-MG,CLT,Totalmente remoto,TEC,501,Android Primário,Líder Técnico,11,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Home office liberado, Outros",,,,
208,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,FIN,501,Android Primário,Sênior,3-5,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office liberado",,,,
209,M,Mestrado,30-39,N,N,B-PE,PJS,Totalmente remoto,TEC,51-100,Android Primário,Sênior,11,N,,,,,AN,USD,6000-9000,N/A
210,M,Ensino superior completo,21-29,S,N,B-SP,CLT,Totalmente presencial,MOB,101-500,Android Primário,Pleno,5-10,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office parcial",,,,
211,M,Ensino superior completo,21-29,S,N,B-MG,CLT,Totalmente remoto,LOG,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Home office liberado",,,,
212,M,Ensino superior completo,30-39,N,N,E-EU,PJS,Parcialmente presencial,MOB,101-500,Android Primário,Sênior,3-5,N,,,,,EU,EUR,6000-9000,S
213,M,Ensino superior completo,21-29,S,N,B-RS,PJS,Totalmente presencial,OUT,11-50,Android Primário,Sênior,3-5,S,RS,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Home office parcial, Outros",,,,
214,M,Pós-doutorado,40-49,N,S,B-MG,FRE,,,,,,,,,,,,,,,
215,M,Ensino superior incompleto,21-29,N,S,B-SP,CLT,Totalmente remoto,OUT,101-500,Android Primário,Júnior,11,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Estacionamentoacionamento, Seguro de vida, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial, Férias, 13º Salário, Academiademia, Outros",,,,
216,M,Ensino superior incompleto,21-29,N,N,B-RS,CLT,Totalmente presencial,OUT,11-50,Android Primário,Pleno,1-2,S,RS,Interior,1000-3000,"Plano de saúde, Vale refeição, Vale transporte",,,,
217,M,Pós-graduação,21-29,N,N,E-EU,CLT,Totalmente remoto,FIN,501,Android Primário,Pleno,11,S,SP,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Seguro de vida",,,,
218,M,Ensino superior completo,30-39,N,N,B-SP,PJS,Totalmente remoto,TEC,501,Android Primário,Líder Técnico,11,N,,,,,AS,USD,12001,N/A
